Species,TotalMiss
EB_0a ,19.683290
EB_103 ,21.348709
EB_109 ,14.527975
EB_110 ,8.306044
EB_131 ,47.960329
EB_132 ,31.813716
EB_137 ,50.760198
EB_138 ,20.675056
EB_14 ,8.869760
EB_140 ,41.827283
EB_141 ,39.256643
EB_147 ,6.310816
EB_151 ,11.262631
EB_18 ,16.577002
EB_19 ,10.188997
EB_2 ,10.914109
EB_20 ,33.596089
EB_21 ,28.326160
EB_23 ,34.821763
EB_29 ,52.147268
EB_32 ,11.087201
EB_33 ,17.145397
EB_34 ,25.425711
EB_39 ,7.735311
EB_42 ,25.790606
EB_43 ,9.936377
EB_44 ,11.339820
EB_45 ,6.811377
EB_46 ,11.826347
EB_47 ,7.405501
EB_48 ,6.591504
EB_49 ,7.976235
EB_50 ,9.260385
EB_52 ,15.215662
EB_54 ,24.883046
EB_59 ,16.296314
EB_60 ,30.892122
EB_61 ,19.664577
EB_62 ,11.194798
EB_63 ,37.539764
EB_65 ,45.700786
EB_67 ,14.146707
EB_69 ,33.516561
EB_70 ,10.270865
EB_71 ,13.414577
EB_73 ,13.767777
EB_75 ,13.833271
EB_76 ,7.101422
EB_78 ,10.752713
EB_80 ,5.206774
EB_83 ,5.419629
EB_87 ,6.537706
EB_x002 ,12.736246
EB_x187 ,4.823166
EB_x229 ,6.334207
EB_x230 ,17.304454
EB_x287 ,9.330558
T_1185 ,8.720060
T_1194 ,18.663454
T_1195 ,13.288267
T_1198 ,10.900075
T_1199 ,13.753743
T_1200 ,14.925618
T_1201 ,14.057822
EB_128 ,13.601703
EB_134 ,51.997567
EB_145 ,20.600206
EB_16 ,14.036770
EB_51 ,75.355539
EB_53 ,17.166448
EB_55 ,32.688529
EB_57 ,53.899233
EB_79 ,6.526010
EB_82 ,5.007953
EB_x045 ,1.826815
EB_x140 ,3.962388
EB_x254 ,42.919629
T_426 ,26.985872
EB_129 ,33.832335
EB_25 ,55.756456
EB_35 ,52.874719
EB_37 ,15.054266
EB_142 ,55.159993
T_1157 ,63.091785
T_1160 ,58.280314
EB_143 ,47.574382
EB_136 ,61.171407
EB_144 ,63.168975
EB_66 ,45.965101
EB_119 ,87.528069
T_1186 ,73.488960
EB_133 ,79.778724
EB_126 ,96.018900
EB_113 ,90.201628
EB_117 ,87.556138
EB_121 ,73.828125
EB_122 ,81.579809
EB_112 ,85.668507
EB_114 ,97.506549
EB_135 ,96.049308
